,titles,rates,reviews,review_id
14748,킹메이커,7,몰랐던 현대사 공부하기 좋은듯. 심리묘사가 뛰어나다 ,paul****
14749,공조2: 인터내셔날,8,현빈과 다니엘헤니의 화보집. 명절에 가볍게 즐기기 좋은 영화 ,paul****
14750,헌트,8,이형 감독도 잘하시네.. ,paul****
14751,브로커,6,너무 기대를 많이했나.. ,paul****
14752,한산: 용의 출현,7,이전작보단 확실히 보완한듯하다 ,paul****
14753,"힘을 내요, 미스터 리",5,좀 더 힘을 내지..ㅠㅠ ,paul****
14754,비상선언,5,"배우들 연기는 좋았지만 후반부로 갈수록 한숨이 나왔으며, 이럴거면 긴 러닝타임이 무슨 의미가 있는지 싶었다. ",paul****
14755,집으로 가는 길,6,전도연 연기는 끝내줬다. ,paul****
14756,외계+인 1부,8,이집 짬뽕맛 특이하네.. ,paul****
14757,토르: 러브 앤 썬더,7,기대감에 비해 그저 그랬음 ,paul****
14758,헤어질 결심,7,"어떤 사랑은 슬픔이 파도처럼 밀려오고,어떤 사랑은 슬픔이 잉크처럼 천천히 번져 붕괴시킨다. ",paul****
14759,탑건: 매버릭,9,톰 크루즈가 왜 최고의 스타인지 이유가 되는 영화 ,paul****
14760,마녀(魔女) Part2. The Other One,8,개연성은 좀 부족하지만 액션이 1편에 비해 나아진듯 ,paul****
14761,아델라인 : 멈춰진 시간,6,뭔소리야 말 같지도 않은 소리 하고있어 ,paul****
14762,쥬라기 월드: 도미니언,7,어릴적 좋아했던 시리즈의 마지막 ,paul****
14763,007 노 타임 투 다이,7,초반만 흥미진진했다. ,paul****
14764,범죄도시2,8,중간중간 웃기고 타격감 시원하고 ,paul****
14765,모비우스,5,매력없는 히어로물이다. ,paul****
14766,신비한 동물들과 덤블도어의 비밀,7,해리포터 시리즈에 비해 턱없이 부족하다. ,paul****
14767,토르: 러브 앤 썬더,7,기대감에 비해 그저 그랬음 ,paul****
14768,헤어질 결심,7,"어떤 사랑은 슬픔이 파도처럼 밀려오고,어떤 사랑은 슬픔이 잉크처럼 천천히 번져 붕괴시킨다. ",paul****
14769,탑건: 매버릭,9,톰 크루즈가 왜 최고의 스타인지 이유가 되는 영화 ,paul****
14770,마녀(魔女) Part2. The Other One,8,개연성은 좀 부족하지만 액션이 1편에 비해 나아진듯 ,paul****
14771,아델라인 : 멈춰진 시간,6,뭔소리야 말 같지도 않은 소리 하고있어 ,paul****
14772,쥬라기 월드: 도미니언,7,어릴적 좋아했던 시리즈의 마지막 ,paul****
14773,007 노 타임 투 다이,7,초반만 흥미진진했다. ,paul****
14774,범죄도시2,8,중간중간 웃기고 타격감 시원하고 ,paul****
14775,모비우스,5,매력없는 히어로물이다. ,paul****
14776,신비한 동물들과 덤블도어의 비밀,7,해리포터 시리즈에 비해 턱없이 부족하다. ,paul****
14777,늑대사냥,1,"너무 별로였다. 첫부분만 좀 집중됐는데, 그 뒤로는 잔인한 장면빼고 생각나는게 거의 없다. 스토리도 거의 없는 느낌이고, 서인국 배우님으로 관심 좀 끌다가 이상한 방향으로 넘어갔다. 배우도 그렇고, 분명 더 좋은 영화가 될 수 있었을거 같은데, 아쉬운 부분이 너무 크다 ",paul****
14778,지오스톰,10,첨부터 끝까지 몰입도 300 ㅋㅋ실감나고 짱잼 ,paul****
14779,늑대사냥,1,아주 대단합니다 유치원생이 생각과 맥락없이 대화하는게 더 재미있을정도로 ,paul****
14780,비상선언,10,음 볼만했는데 좀 짬봉스런 느낌은있었네요;; ,paul****
14781,아수라,1,감독이 개념없이 개차반같은영화를만들었구나 잘난 x열이영화나 만들어바라 ,paul****
14782,엑시트,10,재미있네요  재미있어요ㅋ ,paul****
14783,그때 그사람들,2,한심한 영화다. 윤여정씨 그렇게 나레이션을 지껄이고싶으셨는지? ,paul****
14784,지푸라기라도 잡고 싶은 짐승들,9,긴장감있고 재미있네요ㅋ ,paul****
14785,감시자들,9,볼만해요 나름재미있음 ,paul****
14786,26년,10,,paul****
14787,시라노; 연애조작단,10,다시바도 재미있네요! ,paul****
14788,광대들: 풍문조작단,8,한번볼만하네요 ^^~ ,paul****
14789,킹덤 오브 헤븐,10,,paul****
14790,백두산,10,재미있습니다.충분히 볼만한영화입니다 ,paul****
14791,배심원들,10,감동적인이야기네요. 추천합니다 ,paul****
14792,백두산,10,재미있습니다.충분히 볼만한영화입니다 ,paul****
14793,배심원들,10,감동적인이야기네요. 추천합니다 ,paul****
14794,불릿 트레인,10,생각보다 잼있네요..점수는 6.93점 아닌데;;; 8점~9점임.. ,paul****
14795,카터,3,액션CG  뭐냐.... 배우연기들 아깝다~ ,paul****
14796,문폴,1,문폴 짱깨산 ㅋㅋㅋ ,paul****
14797,스파이더맨: 노 웨이 홈,10,스파이더맨 3명이 모였네요 ㅠ ㅠ 감동입니다~ 아이 러브 마벨!!! ,paul****
14798,모가디슈,10,갓영화입니다.~ 최고!!! ,dica****
14799,올드,6,그냥 6점입니다~   무서운 영화 ,dica****
14800,블랙 위도우,10,넘 잼있게 잘봤습니다~ 스칼렛 요한슨 최고!!! ,dica****
14801,제8일의 밤,3,존 잼없음... ㅋㅋㅋ  배우들 연기잘하고 스토리를 지루함... ,dica****
14802,잭 스나이더의 저스티스 리그,10,넘 잼있게 잘봤습니다~  꼭 봐라!!! ,namj****
14803,최미역행,1,어우~ 짱개들이 싫다!!! ,namj****
14804,800,1,별점 0점 체크 안되나... ,namj****
14805,주먹이 운다,10,,namj****
14806,뮬란,1,안보길 잘했다~ 노래를 없고 귀여운 용이 어디갔어? ,namj****
14807,쇼생크 탈출,10,제 인생 최고의 영화임 ,namj****
14808,지오스톰,10,저도 잼있게 봤어요~~ ^^;;  스토리  짱임~~  꼭 보세욤~~ ,namj****
14809,덩케르크,10,와.. 스토리없고 몰입감 뛰어나고 예술영화이야  감독 천재인듯 ㅋㅋ ,namj****
14810,배트맨 대 슈퍼맨: 저스티스의 시작,10,저만 잼있는거나? 0_0; ,namj****
14811,미션 임파서블: 로그네이션,10,미션 임파셔블 시리즈인데도 잼있어요 2빼고 ㅋ ,namj****
14812,쥬라기 월드,10,"괜찮네요... 쥬라기 공원 1 >> 4 > 2 >>>>3 같애요...   이상한공룡 VS 타사노사우루스, 랩터 , 공룡악어 ",namj****
14813,샌 안드레아스,10,그래픽이 대박인데... 스토리 좀 ,namj****
14814,800,1,별점 0점 체크 안되나... ,namj****
14815,주먹이 운다,10,,namj****
14816,뮬란,1,안보길 잘했다~ 노래를 없고 귀여운 용이 어디갔어? ,namj****
14817,쇼생크 탈출,10,제 인생 최고의 영화임 ,namj****
14818,지오스톰,10,저도 잼있게 봤어요~~ ^^;;  스토리  짱임~~  꼭 보세욤~~ ,namj****
14819,덩케르크,10,와.. 스토리없고 몰입감 뛰어나고 예술영화이야  감독 천재인듯 ㅋㅋ ,namj****
14820,배트맨 대 슈퍼맨: 저스티스의 시작,10,저만 잼있는거나? 0_0; ,namj****
14821,미션 임파서블: 로그네이션,10,미션 임파셔블 시리즈인데도 잼있어요 2빼고 ㅋ ,namj****
14822,쥬라기 월드,10,"괜찮네요... 쥬라기 공원 1 >> 4 > 2 >>>>3 같애요...   이상한공룡 VS 타사노사우루스, 랩터 , 공룡악어 ",namj****
14823,샌 안드레아스,10,그래픽이 대박인데... 스토리 좀 ,namj****
14824,비상선언,10,음 볼만했는데 좀 짬봉스런 느낌은있었네요;; ,namj****
14825,아수라,1,감독이 개념없이 개차반같은영화를만들었구나 잘난 x열이영화나 만들어바라 ,namj****
14826,엑시트,10,재미있네요  재미있어요ㅋ ,namj****
14827,그때 그사람들,2,한심한 영화다. 윤여정씨 그렇게 나레이션을 지껄이고싶으셨는지? ,namj****
14828,지푸라기라도 잡고 싶은 짐승들,9,긴장감있고 재미있네요ㅋ ,namj****
14829,감시자들,9,볼만해요 나름재미있음 ,namj****
14830,26년,10,,namj****
14831,시라노; 연애조작단,10,다시바도 재미있네요! ,namj****
14832,광대들: 풍문조작단,8,한번볼만하네요 ^^~ ,dica****
14833,킹덤 오브 헤븐,10,,dica****
14834,백두산,10,재미있습니다.충분히 볼만한영화입니다 ,dica****
14835,배심원들,10,감동적인이야기네요. 추천합니다 ,dica****
14836,백두산,10,재미있습니다.충분히 볼만한영화입니다 ,dica****
14837,배심원들,10,감동적인이야기네요. 추천합니다 ,dica****
14838,늑대사냥,1,아주 대단합니다 유치원생이 생각과 맥락없이 대화하는게 더 재미있을정도로 ,dica****
14839,늑대사냥,1,아주 대단합니다 유치원생이 생각과 맥락없이 대화하는게 더 재미있을정도로 ,dica****
14840,비상선언,10,음 볼만했는데 좀 짬봉스런 느낌은있었네요;; ,namj****
